,Time,Knob a,Knob a Setpoint,Knob b,Coordinate x,Coordinate y,Distance r
2024-06-10T08:32:04.947714000,0.12036895751953125,0.0,1.4,0.0,1.19,0.0,1.19
2024-06-10T08:32:05.777284000,0.44455909729003906,0.0,1.4,0.0,1.0,0.0,1.0
2024-06-10T08:32:06.551301000,0.9499671459197998,0.0,1.4,0.0,1.0,0.0,1.0
2024-06-10T08:32:07.332145000,1.730811595916748,0.0,1.4,0.0,1.0,0.0,1.0
2024-06-10T08:32:08.113870000,2.5125362873077393,0.0,1.4,0.0,1.0,0.0,1.0
2024-06-10T08:32:08.892672000,3.2910354137420654,0.0,1.4,0.04365531206130981,1.0,0.04365531206130981,1.0009524395650227
